experiment_id,scenario_id,mode,partition_point,load_model_name,load_rps_target,duration_s,mode_command_sent_ts,mode_confirmed_ts,load_command_sent_ts,load_confirmed_ts,load_stop_ts,analysis_start_ts,analysis_end_ts,status
exp_003,1,full_server,,resnet18_full,0.0,25.0,1776090852.0880558,1776090852.1259646,,,1776090882.3039958,1776090857.3039958,1776090882.3039958,completed
exp_003,2,full_server,,resnet18_full,100.0,25.0,1776090882.330818,1776090882.4330735,1776090885.4862301,1776090885.8542104,1776090916.102009,1776090890.966422,1776090915.966422,completed
exp_003,3,full_server,,resnet18_full,150.0,25.0,1776090916.102432,1776090916.059727,1776090919.2616444,1776090919.638921,1776090949.8228076,1776090924.7416937,1776090949.7416937,completed
