experiment_id,scenario_id,scenario_mode,scenario_partition_point,scenario_load_model_name,scenario_load_rps_target,scenario_analysis_start_ts,scenario_analysis_end_ts,client_timestamp,client_request_id,client_frame_id,client_mode,client_model_name,client_partition_point,client_processing_time,client_transfer_time,client_server_processing_time,client_e2e_latency,client_loop_latency,client_frame_read_time,client_post_e2e_overhead,client_bytes_sent,client_bytes_received,client_latest_sampled_power_w,client_latest_sampled_temp_c,client_latest_power_w,client_latest_avg_cpu_util,client_latest_avg_gpu_util,client_latest_avg_temp_c,server_timestamp,server_id,server_gpu_util_percent,server_gpu_freq_mhz,server_gpu_temp_c,server_gpu_mem_used_mb,server_gpu_mem_total_mb,server_cpu_util_percent,server_mem_util_percent,server_emc_util_percent,server_emc_freq_mhz,server_temperature_c,server_power_w,server_power_avg_w,server_power_vdd_in_mw,server_total_rps,server_total_success_rps,server_total_failure_rps,server_total_pending_requests,active_server_model_name,active_model_success_rps,active_model_failure_rps,active_model_inference_rps,active_model_execution_rps,active_model_pending_requests,active_model_avg_queue_time_ms,active_model_avg_compute_input_ms,active_model_avg_compute_infer_ms,active_model_avg_compute_output_ms,load_model_success_rps,load_model_failure_rps,load_model_pending_requests,load_model_avg_queue_time_ms,load_model_avg_compute_input_ms,load_model_avg_compute_infer_ms,load_model_avg_compute_output_ms
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.3026025,92c299ee-eee9-4187-944a-84d6e6996d7d,2770,full_server,resnet50,,0.004623902001185343,0.04332385599263944,,0.0658692920114845,0.06591752200620249,0.0074749010091181844,4.822999471798539e-05,602112,8,2.547,25.05,2.77,28.122905027932962,9.318435754189943,24.503910614525154,1776987257.2926612,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,14.0,14.0,0.0,0,resnet50_full,14.0,0.0,14.0,14.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285,14.0,0.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.2359135,6d92e6f6-2a2d-475c-832e-39d4aa79da76,2769,full_server,resnet50,,0.005063599004643038,0.04222216599737294,,0.0640015960088931,0.06403467000927776,0.007190937001723796,3.3074000384658575e-05,602112,8,2.547,25.05,2.77,28.122905027932962,9.318435754189943,24.503910614525154,,,,,,,,,,,,,,,,,,,,resnet50_full,,,,,,,,,,,,,,,,
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.4362836,42ede854-dc9c-47bd-92ee-a45f9dea2275,2772,full_server,resnet50,,0.004937033983878791,0.043059213989181444,,0.06488864601124078,0.06493807400693186,0.006649830989772454,4.942799569107592e-05,602112,8,2.547,25.05,2.77,28.122905027932962,9.318435754189943,24.503910614525154,1776987257.2926612,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,14.0,14.0,0.0,0,resnet50_full,14.0,0.0,14.0,14.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285,14.0,0.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.3706312,00579024-1e03-4853-beff-c2504b2e97a5,2771,full_server,resnet50,,0.004678122000768781,0.04332161700585857,,0.06698384799528867,0.0670311409921851,0.008845400006975979,4.729299689643085e-05,602112,8,2.547,25.05,2.77,28.122905027932962,9.318435754189943,24.503910614525154,1776987257.2926612,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,14.0,14.0,0.0,0,resnet50_full,14.0,0.0,14.0,14.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285,14.0,0.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.5032525,88b962f6-e2b5-44b8-9aa9-6861a869f100,2773,full_server,resnet50,,0.004606246016919613,0.043674540997017175,,0.06602455599932,0.06608898498234339,0.007855898991692811,6.442898302339017e-05,602112,8,2.547,25.05,2.77,28.122905027932962,9.318435754189943,24.503910614525154,1776987257.2926612,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,14.0,14.0,0.0,0,resnet50_full,14.0,0.0,14.0,14.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285,14.0,0.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.573257,ca9855a1-d661-4510-ac2a-88dd3b1ace92,2774,full_server,resnet50,,0.005890909000299871,0.04251227600616403,,0.0686473730020225,0.0686798219976481,0.01019480501418002,3.244899562560022e-05,602112,8,2.547,25.05,2.77,28.122905027932962,9.318435754189943,24.503910614525154,1776987257.2926612,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,14.0,14.0,0.0,0,resnet50_full,14.0,0.0,14.0,14.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285,14.0,0.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.7059832,b6e38d89-6094-4161-81d7-bd6bf4281dfd,2776,full_server,resnet50,,0.004790676990523934,0.04360099701443687,,0.06850903798476793,0.0685702369955834,0.009045195998623967,6.119901081547141e-05,602112,8,2.547,25.1,2.769,28.118055555555557,9.266666666666667,24.50722222222224,1776987257.2926612,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,14.0,14.0,0.0,0,resnet50_full,14.0,0.0,14.0,14.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285,14.0,0.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.6368654,acd976b2-3a15-4c7e-b3f6-2149127970be,2775,full_server,resnet50,,0.004799374990398064,0.0421419549966231,,0.062190515018301085,0.062219473998993635,0.005861429002834484,2.895898069255054e-05,602112,8,2.547,25.05,2.77,28.122905027932962,9.318435754189943,24.503910614525154,1776987257.2926612,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,14.0,14.0,0.0,0,resnet50_full,14.0,0.0,14.0,14.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285,14.0,0.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.7735898,694ae2cc-49fe-4be9-bced-665d1cbe1e86,2777,full_server,resnet50,,0.0047141649993136525,0.04218565399060026,,0.06620732098235749,0.06623841499094851,0.009337025985587388,3.109400859102607e-05,602112,8,2.547,25.1,2.769,28.118055555555557,9.266666666666667,24.50722222222224,1776987257.2926612,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,14.0,14.0,0.0,0,resnet50_full,14.0,0.0,14.0,14.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285,14.0,0.0,0,0.062,0.21842857142857142,30.030285714285714,0.04585714285714285
no_load_1m_run1,1,full_server,,resnet50_full,0.0,1776987257.2178926,1776987317.2178926,1776987257.8207636,f2b88dc4-938d-4a1d-8307-b3d644231179,2778,full_server,resnet50,,0.007564433995867148,0.025010959012433887,,0.04667064701789059,0.04670070001157001,0.005916066002100706,3.005299367941916e-05,602112,8,2.547,25.1,2.769,28.118055555555557,9.266666666666667,24.50722222222224,1776987257.7932305,jetson-orin-1,56.8,306.0,48.468,4.829166412353516,7.441337585449219,8.333333333333334,64.89648341981503,0.0,2133.0,47.7965,6.011,5.995,6011.0,16.0,16.0,0.0,0,resnet50_full,16.0,0.0,16.0,16.0,0,0.07125,0.229875,33.76025,0.042375,16.0,0.0,0,0.07125,0.229875,33.76025,0.042375
