experiment_id,scenario_id,mode,partition_point,load_model_name,active_server_model_name,load_rps_target,duration_s
exp_001,1,full_server,,resnet18_full,resnet18_full,0.0,25.0
exp_001,2,full_server,,resnet18_full,resnet18_full,90.0,25.0
exp_001,3,full_server,,resnet18_full,resnet18_full,100.0,25.0
exp_001,4,full_server,,resnet18_full,resnet18_full,120.0,25.0
exp_001,5,full_server,,resnet18_full,resnet18_full,130.0,25.0
exp_001,6,full_server,,resnet18_full,resnet18_full,140.0,25.0
exp_001,7,full_server,,resnet18_full,resnet18_full,150.0,25.0
exp_001,8,full_server,,resnet18_full,resnet18_full,160.0,25.0
exp_001,9,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,0.0,25.0
exp_001,10,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,90.0,25.0
exp_001,11,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,100.0,25.0
exp_001,12,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,120.0,25.0
exp_001,13,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,130.0,25.0
exp_001,14,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,140.0,25.0
exp_001,15,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,150.0,25.0
exp_001,16,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,160.0,25.0
exp_001,17,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,0.0,25.0
exp_001,18,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,90.0,25.0
exp_001,19,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,100.0,25.0
exp_001,20,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,120.0,25.0
exp_001,21,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,130.0,25.0
exp_001,22,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,140.0,25.0
exp_001,23,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,150.0,25.0
exp_001,24,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,160.0,25.0
exp_001,25,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,0.0,25.0
exp_001,26,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,90.0,25.0
exp_001,27,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,100.0,25.0
exp_001,28,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,120.0,25.0
exp_001,29,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,130.0,25.0
exp_001,30,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,140.0,25.0
exp_001,31,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,150.0,25.0
exp_001,32,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,160.0,25.0
exp_001,33,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,0.0,25.0
exp_001,34,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,90.0,25.0
exp_001,35,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,100.0,25.0
exp_001,36,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,120.0,25.0
exp_001,37,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,130.0,25.0
exp_001,38,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,140.0,25.0
exp_001,39,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,150.0,25.0
exp_001,40,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,160.0,25.0
exp_001,41,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,0.0,25.0
exp_001,42,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,90.0,25.0
exp_001,43,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,100.0,25.0
exp_001,44,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,120.0,25.0
exp_001,45,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,130.0,25.0
exp_001,46,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,140.0,25.0
exp_001,47,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,150.0,25.0
exp_001,48,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,160.0,25.0
exp_001,49,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,0.0,25.0
exp_001,50,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,90.0,25.0
exp_001,51,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,100.0,25.0
exp_001,52,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,120.0,25.0
exp_001,53,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,130.0,25.0
exp_001,54,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,140.0,25.0
exp_001,55,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,150.0,25.0
exp_001,56,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,160.0,25.0
exp_001,57,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,0.0,25.0
exp_001,58,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,90.0,25.0
exp_001,59,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,100.0,25.0
exp_001,60,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,120.0,25.0
exp_001,61,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,130.0,25.0
exp_001,62,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,140.0,25.0
exp_001,63,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,150.0,25.0
