experiment_id,scenario_id,mode,partition_point,load_model_name,load_rps_target,duration_s,mode_command_sent_ts,mode_confirmed_ts,load_command_sent_ts,load_confirmed_ts,load_stop_ts,analysis_start_ts,analysis_end_ts,status
exp_002,1,full_server,,resnet18_full,0.0,25.0,1776090635.2531111,1776090635.3201592,,,1776090665.5121548,1776090640.5121548,1776090665.5121548,completed
exp_002,2,full_server,,resnet18_full,100.0,25.0,1776090665.6355777,1776090665.7352097,1776090668.8773427,1776090669.2686002,1776090699.539879,1776090674.4737236,1776090699.4737236,completed
exp_002,3,full_server,,resnet18_full,150.0,25.0,1776090699.5403264,1776090699.5002086,1776090702.6808665,1776090703.0622556,1776090733.271077,1776090708.1484585,1776090733.1484585,completed
