experiment_id,scenario_id,mode,partition_point,load_model_name,active_server_model_name,load_rps_target,duration_s
exp_13_16_49,1,full_server,,resnet18_full,resnet18_full,0.0,25.0
exp_13_16_49,2,full_server,,resnet18_full,resnet18_full,100.0,25.0
exp_13_16_49,3,full_server,,resnet18_full,resnet18_full,120.0,25.0
exp_13_16_49,4,full_server,,resnet18_full,resnet18_full,150.0,25.0
exp_13_16_49,5,full_server,,resnet18_full,resnet18_full,155.0,25.0
exp_13_16_49,6,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,0.0,25.0
exp_13_16_49,7,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,100.0,25.0
exp_13_16_49,8,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,120.0,25.0
exp_13_16_49,9,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,150.0,25.0
exp_13_16_49,10,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,155.0,25.0
exp_13_16_49,11,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,0.0,25.0
exp_13_16_49,12,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,100.0,25.0
exp_13_16_49,13,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,120.0,25.0
exp_13_16_49,14,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,150.0,25.0
exp_13_16_49,15,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,155.0,25.0
exp_13_16_49,16,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,0.0,25.0
exp_13_16_49,17,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,100.0,25.0
exp_13_16_49,18,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,120.0,25.0
exp_13_16_49,19,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,150.0,25.0
exp_13_16_49,20,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,155.0,25.0
exp_13_16_49,21,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,0.0,25.0
exp_13_16_49,22,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,100.0,25.0
exp_13_16_49,23,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,120.0,25.0
exp_13_16_49,24,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,150.0,25.0
exp_13_16_49,25,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,155.0,25.0
exp_13_16_49,26,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,0.0,25.0
exp_13_16_49,27,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,100.0,25.0
exp_13_16_49,28,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,120.0,25.0
exp_13_16_49,29,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,150.0,25.0
exp_13_16_49,30,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,155.0,25.0
exp_13_16_49,31,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,0.0,25.0
exp_13_16_49,32,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,100.0,25.0
exp_13_16_49,33,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,120.0,25.0
exp_13_16_49,34,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,150.0,25.0
exp_13_16_49,35,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,155.0,25.0
exp_13_16_49,36,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,0.0,25.0
exp_13_16_49,37,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,100.0,25.0
exp_13_16_49,38,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,120.0,25.0
exp_13_16_49,39,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,150.0,25.0
exp_13_16_49,40,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,155.0,25.0
exp_13_16_49,41,split,layer4.0,resnet18_tail_after_layer4_0,resnet18_tail_after_layer4_0,0.0,25.0
exp_13_16_49,42,split,layer4.0,resnet18_tail_after_layer4_0,resnet18_tail_after_layer4_0,100.0,25.0
exp_13_16_49,43,split,layer4.0,resnet18_tail_after_layer4_0,resnet18_tail_after_layer4_0,120.0,25.0
exp_13_16_49,44,split,layer4.0,resnet18_tail_after_layer4_0,resnet18_tail_after_layer4_0,150.0,25.0
exp_13_16_49,45,split,layer4.0,resnet18_tail_after_layer4_0,resnet18_tail_after_layer4_0,155.0,25.0
exp_13_16_49,46,split,layer4.1,resnet18_tail_after_layer4_1,resnet18_tail_after_layer4_1,0.0,25.0
exp_13_16_49,47,split,layer4.1,resnet18_tail_after_layer4_1,resnet18_tail_after_layer4_1,100.0,25.0
exp_13_16_49,48,split,layer4.1,resnet18_tail_after_layer4_1,resnet18_tail_after_layer4_1,120.0,25.0
exp_13_16_49,49,split,layer4.1,resnet18_tail_after_layer4_1,resnet18_tail_after_layer4_1,150.0,25.0
exp_13_16_49,50,split,layer4.1,resnet18_tail_after_layer4_1,resnet18_tail_after_layer4_1,155.0,25.0
exp_13_16_49,51,full_local,,,,0.0,25.0
