request_id,timestamp,frame_id,model_name,partition_point,mode,client_processing_time,transfer_time,server_processing_time,e2e_latency,bytes_sent,bytes_received
b8df47fb-5fcf-43a6-a7f6-ea3cc754b56d,1775638868.5477207,0,resnet18,layer2.0,split,12.910940955000115,4.324653335999983,,17.328358982000054,401408,8
ec20ff94-4f0c-47fe-a1a8-c79f00e33460,1775638870.1335485,1,resnet18,layer2.0,split,0.17994455899997774,0.025882749999937005,,0.20829758300010326,401408,8
094f7816-b505-4b1a-beca-fbda179ed5ec,1775638871.2817783,2,resnet18,layer2.0,split,0.06835996900031205,0.02303549499993096,,0.09329084000000876,401408,8
2a72614b-edd6-4916-a244-cc4ab530ef35,1775638872.4446034,3,resnet18,layer2.0,split,0.08787070399989716,0.023644769000156884,,0.11568747599994822,401408,8
46200ece-8834-4b5b-b4e2-863b51f13487,1775638873.5760148,4,resnet18,layer2.0,split,0.04983913600017331,0.02195465500017235,,0.07989925300012146,401408,8
92a6de81-a1af-4e66-9f11-75e24568ba59,1775638874.72951,5,resnet18,layer2.0,split,0.03613692299995819,0.02292262999981176,,0.06736215199998696,401408,8
ced62efa-4083-4e78-8d36-36f88c10b4c8,1775638875.873363,6,resnet18,layer2.0,split,0.03436769400013873,0.021957467999982327,,0.058050900999887745,401408,8
c62678c9-8c12-4c8c-9a04-fa38aecfcbc6,1775638877.027484,7,resnet18,layer2.0,split,0.04273607400023138,0.022039238999923327,,0.07467302600002768,401408,8
26c331a5-0112-4be9-a321-222245d7be5b,1775638878.1653671,8,resnet18,layer2.0,split,0.03819047599995429,0.022132729999839285,,0.06196628799989412,401408,8
13a63015-41a6-48b1-a4eb-1e3bcafe9b70,1775638879.2656364,9,resnet18,layer2.0,split,0.03608186999986174,0.02298580700016828,,0.06071648799979812,401408,8
c68b1100-082f-4c3d-9fcd-d6a1aa043a05,1775638880.3938642,10,resnet18,layer2.0,split,0.03162069999984851,0.022139030999824172,,0.06390890300008323,401408,8
39ee790b-0671-40c8-8351-42db9c59126a,1775638881.5356925,11,resnet18,layer2.0,split,0.03072751799982143,0.02209783300008894,,0.05448509899997589,401408,8
e700a639-b1de-4690-9558-99a66441d710,1775638882.6793592,12,resnet18,layer2.0,split,0.027387239000063346,0.021854759000007107,,0.055607398000120156,401408,8
7372ecf1-c7e1-4aa9-931a-06a3042559a8,1775638883.790826,13,resnet18,layer2.0,split,0.03305352100005621,0.022061323000116317,,0.05670146600004955,401408,8
2ee9637d-d996-404c-8904-642c7c85b8b5,1775638884.9022472,14,resnet18,layer2.0,split,0.060659404000034556,0.021773248000044987,,0.08392859900004623,401408,8
bb071775-825b-47ea-8ede-485f8668e06a,1775638886.0183043,15,resnet18,layer2.0,split,0.05919179200009239,0.025553008999850135,,0.08933810899998207,401408,8
0d530441-f8ae-458c-b6d2-bff50c9612f6,1775638887.1825476,16,resnet18,layer2.0,split,0.10222479600020051,0.024050500000157626,,0.12865734100000736,401408,8
13bef5d6-8263-43bc-ae22-4316f8246c2f,1775638888.3074384,17,resnet18,layer2.0,split,0.06829022899978554,0.021459235000065746,,0.09128041100007067,401408,8
80aca0f9-380e-4f47-a639-d0010ff53b08,1775638889.3868105,18,resnet18,layer2.0,split,0.025470455999993646,0.023284142000193242,,0.05005965800000922,401408,8
958c7fea-c62d-41f9-aa0e-85fc0c29077b,1775638890.5048332,19,resnet18,layer2.0,split,0.06779663299994354,0.02162923699984276,,0.09109280600000602,401408,8
